Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
17/06/2024 22:35,212.77079,9311.24,8370.40503,283.97497,-647.41,ACTUAL
17/06/2024 22:40,212.36309,9309.36,8272.88241,287.36759,-742.2,ACTUAL
17/06/2024 22:45,212.8513,9168.77,8204.06446,299.49554,-661.56,ACTUAL
17/06/2024 22:50,213.89878,9203.84,8202.46476,299.25524,-696.86,ACTUAL
17/06/2024 22:55,194.83811,9148.42,8202.41152,296.48848,-641.66,ACTUAL
17/06/2024 23:00,180.27556,9016.93,8202.53586,298.90414,-507.31,ACTUAL
17/06/2024 23:05,215.43076,9101.49,8029.44802,302.71198,-755.04,ACTUAL
17/06/2024 23:10,217.25434,9005.52,7905.42455,310.07545,-775.19,ACTUAL
17/06/2024 23:15,172.21497,8915.2,7845.49732,316.54268,-732.86,ACTUAL
17/06/2024 23:20,189.70191,8939.34,7841.4143,326.6057,-746.79,ACTUAL
17/06/2024 23:25,205.21385,8857.42,7841.36805,328.16195,-670.19,ACTUAL
17/06/2024 23:30,186.98335,8862.61,7841.50467,330.75533,-666.19,ACTUAL
17/06/2024 23:35,207.64045,8803.13,7641.34167,339.11833,-800.19,ACTUAL
17/06/2024 23:40,255.3291,8789.37,7496.03216,333.81784,-939.46,ACTUAL
17/06/2024 23:45,258.66,8837.02,7432.77921,336.50079,-1041.03,ACTUAL
17/06/2024 23:50,200.08309,8702.85,7375.55812,343.13188,-959,ACTUAL
17/06/2024 23:55,191.98604,8660.62,7338.12474,353.87526,-944.03,ACTUAL
18/06/2024 00:00,171.93014,8577.86,7379.41103,365.06897,-809.93,ACTUAL
18/06/2024 00:05,202.98713,8579.32,7222.33071,346.76929,-987.65,ACTUAL
18/06/2024 00:10,253.46559,8559.31,7207.62374,354.28626,-977.18,ACTUAL
18/06/2024 00:15,241.41599,8564.77,7146.92138,358.15862,-1035.99,ACTUAL
18/06/2024 00:20,256.62032,8533.06,7092.74425,350.50575,-1064.71,ACTUAL
18/06/2024 00:25,246.1942,8406.09,7035.56814,347.70186,-1000.41,ACTUAL
18/06/2024 00:30,254.64892,8376.79,7019.77179,343.55821,-991.16,ACTUAL
18/06/2024 00:35,239.00003,8368.22,6930.13753,352.56247,-1059.63,ACTUAL
18/06/2024 00:40,258.66,8314.16,6869.8226,371.3374,-1047.98,ACTUAL
18/06/2024 00:45,254.72698,8353.66,6831.33073,384.05927,-1109.23,ACTUAL
18/06/2024 00:50,251.68744,8327.86,6785.29965,388.52035,-1123.76,ACTUAL
18/06/2024 00:55,221.46925,8260.3,6772.02187,392.10813,-1067.62,ACTUAL
18/06/2024 01:00,182.98408,8233.37,6760.84319,401.11681,-1038.48,ACTUAL
18/06/2024 01:05,218.33804,8188.73,6657.01661,397.19339,-1097.67,ACTUAL
18/06/2024 01:10,245.7781,8144.36,6648.81525,390.01475,-1071.05,ACTUAL
18/06/2024 01:15,223.27702,8153.92,6632.18914,399.94086,-1085.95,ACTUAL
18/06/2024 01:20,176.24511,8012.74,6624.58608,405.86392,-945.3,ACTUAL
18/06/2024 01:25,215.39461,8032.57,6594.45526,419.49474,-984.71,ACTUAL
